num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,4,5,120,nan,nan,nan
22,nan,nan,0.9870794927591326,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
24,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
26,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
28,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
30,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
40,nan,nan,0.9788196959920605,nan,7,nan,16,nan,nan,nan,4,5,120,nan,nan,nan
50,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,4,5,120,nan,nan,nan
60,nan,nan,0.9679140492891968,nan,11,nan,20,nan,nan,nan,4,5,120,nan,nan,nan
70,nan,nan,0.962506875909063,nan,13,nan,22,nan,nan,nan,4,5,120,nan,nan,nan
80,nan,nan,0.9571299092647285,nan,15,nan,24,nan,nan,nan,4,5,120,nan,nan,nan
90,nan,nan,0.9517829806087111,nan,17,nan,26,nan,nan,nan,4,5,120,nan,nan,nan
20,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,4,5,120,nan,nan,nan
22,nan,nan,0.9870794927591326,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
24,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
26,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
28,nan,nan,0.9843185115710353,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
30,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
40,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,4,5,120,nan,nan,nan
50,nan,nan,0.9733515991006007,nan,9,nan,18,nan,nan,nan,4,5,120,nan,nan,nan
60,nan,nan,0.9679140492891968,nan,11,nan,20,nan,nan,nan,4,5,120,nan,nan,nan
70,nan,nan,0.962506875909063,nan,13,nan,22,nan,nan,nan,4,5,120,nan,nan,nan
80,nan,nan,0.9571299092647285,nan,15,nan,24,nan,nan,nan,4,5,120,nan,nan,nan
90,nan,nan,0.9517829806087116,nan,17,nan,26,nan,nan,nan,4,5,120,nan,nan,nan
100,nan,nan,0.9464659221362245,nan,19,nan,28,nan,nan,nan,4,5,120,nan,nan,nan
150,nan,nan,0.9203228746867126,nan,29,nan,38,nan,nan,nan,4,5,120,nan,nan,nan
200,nan,nan,0.8949019440234085,nan,39,nan,48,nan,nan,nan,4,5,120,nan,nan,nan
250,nan,nan,0.8701831840151674,nan,49,nan,58,nan,nan,nan,4,5,120,nan,nan,nan
300,nan,nan,0.846147199477944,nan,59,nan,68,nan,nan,nan,4,5,120,nan,nan,nan
350,nan,nan,0.8227751309566653,nan,69,nan,78,nan,nan,nan,4,5,120,nan,nan,nan
400,nan,nan,0.8000486399274602,nan,79,nan,88,nan,nan,nan,4,5,120,nan,nan,nan
450,nan,nan,0.7779498944086218,nan,89,nan,98,nan,nan,nan,4,5,120,nan,nan,nan
500,nan,nan,0.7564615549690331,nan,99,nan,108,nan,nan,nan,4,5,120,nan,nan,nan
20,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,4,5,120,nan,nan,nan
22,nan,nan,0.9870794927591326,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
24,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,4,5,120,nan,nan,nan
26,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
28,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
30,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,4,5,120,nan,nan,nan
40,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,4,5,120,nan,nan,nan
