num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,18,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,19,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,20,23,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,22,30,26,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,29,39,37,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,39,31,55,24,149,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,18,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,19,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,20,23,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,22,30,26,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,29,39,37,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,39,31,55,24,149,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,18,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,19,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,20,23,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,22,30,26,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,29,39,37,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,39,31,55,24,149,4,3,1368,0.0,0.0,0.0
